mahalle_id,mahalle_adi,ilce_id,ilce_adi,il_id,il_adi
177675,DEMİROLUK MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177677,DOĞANBEYLİ MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177679,DOĞANLI MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177667,ELEMANLI MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177681,EVCİ MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177683,FATMAKUYU MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177685,GÜZELİM MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177687,HANYERİ MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177689,İĞDEBEL MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
389,İSTİKLAL MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177691,KARSAVRAN MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177693,KAYAPINAR MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177695,KAYARCIK MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177697,KİRAZLIYURT MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177699,KOCCAĞIZ MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177701,ORTAKÖY MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177703,PEKMEZLİ MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177705,PINARLAR MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177709,ŞAR MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177711,TAŞPINAR MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177713,TOZLU MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177715,YAMANLI MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
390,YENİCAMİ MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
177717,YEŞİLOVA MAHALLESİ,1687,TUFANBEYLİ,1,ADANA
1970,ABAZLI MAHALLESİ,1167,BALA,6,ANKARA
177897,AFŞAR MAHALLESİ,1167,BALA,6,ANKARA
1994,AHMETÇAYIRI MAHALLESİ,1167,BALA,6,ANKARA
177965,AKKOYUNLU MAHALLESİ,1167,BALA,6,ANKARA
177899,AŞAĞIHACIBEKİR MAHALLESİ,1167,BALA,6,ANKARA
177901,AŞIKOĞLU MAHALLESİ,1167,BALA,6,ANKARA
177903,AYDOĞAN MAHALLESİ,1167,BALA,6,ANKARA
177905,BAHÇEKARADALAK MAHALLESİ,1167,BALA,6,ANKARA
177907,BEKTAŞLI MAHALLESİ,1167,BALA,6,ANKARA
177909,BELÇARŞAK MAHALLESİ,1167,BALA,6,ANKARA
177967,BEYNAM MAHALLESİ,1167,BALA,6,ANKARA
177931,BÜYÜKBAYAT MAHALLESİ,1167,BALA,6,ANKARA
1976,BÜYÜKBOYALIK MAHALLESİ,1167,BALA,6,ANKARA
177913,BÜYÜKCAMİLİ MAHALLESİ,1167,BALA,6,ANKARA
1972,ÇATALÇEŞME MAHALLESİ,1167,BALA,6,ANKARA
